datetime int bmp2_temp bmp2_pres bmp2_slp bmp2_alt bme2_hum htu_temp htu_hum sth_temp sth_hum tipping vis_light ir_light uv_light wind_dir wind_speed mcp9808
"2022-11-09 08:00:00" -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99
"2022-11-11 09:00:00" -999.99 24.2 924.1 929.37 -999.99 -999.99 -999.99 30.9 -999.99 -999.99 -999.99 260.0 253.0 -999.99 255.0 -999.99 23.9
"2022-11-11 10:00:00" -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 23.9
"2022-11-14 08:00:00" -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 20.98
"2022-11-14 09:00:00" -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 26.8 22.3 -999.99 -999.99 -999.99 795.0 5660.5 2.9 236.0 -999.99 20.98
"2022-11-14 10:00:00" -999.99 27.4 1014.5 1020.29 -999.99 -999.99 27.2 18.0 -999.99 -999.99 -999.99 757.0 5266.5 2.7 157.0 -999.99 27.4
"2022-11-14 11:00:00" -999.99 27.4 1014.0 1019.78 -999.99 -999.99 27.4 17.8 -999.99 -999.99 -999.99 641.0 4148.0 2.05 215.5 -999.99 27.4
"2022-11-14 12:00:00" -999.99 27.15 1013.8 1019.58 -999.99 -999.99 26.8 17.9 -999.99 -999.99 -999.99 488.5 2622.5 1.2 208.5 -999.99 27.2
"2022-11-14 13:00:00" -999.99 27.0 1013.8 1019.58 -999.99 -999.99 26.5 22.7 -999.99 -999.99 -999.99 345.0 1103.0 0.5 214.0 -999.99 26.2
"2022-11-14 14:00:00" -999.99 20.55 1014.0 1019.78 -999.99 -999.99 20.35 38.2 -999.99 -999.99 -999.99 265.5 292.0 -999.99 214.0 -999.99 21.0
"2022-11-14 15:00:00" -999.99 19.45 1014.5 1020.29 -999.99 -999.99 19.35 45.55 -999.99 -999.99 -999.99 261.0 253.0 -999.99 219.0 -999.99 19.05
"2022-11-14 16:00:00" -999.99 16.55 1015.0 1020.79 -999.99 -999.99 16.65 57.65 -999.99 -999.99 -999.99 261.0 253.0 -999.99 -999.99 -999.99 16.2
"2022-11-14 17:00:00" -999.99 14.6 -999.99 -999.99 -999.99 -999.99 14.5 65.4 -999.99 -999.99 -999.99 261.0 253.0 -999.99 -999.99 -999.99 14.5
"2022-11-14 18:00:00" -999.99 13.35 1015.3 1021.09 -999.99 -999.99 13.3 66.8 -999.99 -999.99 -999.99 260.0 253.0 -999.99 -999.99 -999.99 13.2
"2022-11-14 19:00:00" -999.99 14.35 -999.99 -999.99 -999.99 -999.99 14.3 65.85 -999.99 -999.99 -999.99 261.0 253.0 -999.99 349.0 -999.99 14.3
"2022-11-14 20:00:00" -999.99 14.0 1015.6 1021.39 -999.99 -999.99 13.9 65.85 -999.99 -999.99 -999.99 261.0 253.0 -999.99 349.0 -999.99 14.0
"2022-11-14 21:00:00" -999.99 13.3 1015.8 1021.59 -999.99 -999.99 13.1 71.1 -999.99 -999.99 -999.99 260.0 253.0 -999.99 348.0 -999.99 13.2
"2022-11-14 22:00:00" -999.99 13.3 1015.6 1021.39 -999.99 -999.99 13.2 71.5 -999.99 -999.99 -999.99 261.0 253.0 -999.99 339.0 -999.99 13.2
"2022-11-14 23:00:00" -999.99 13.5 1015.3 1021.09 -999.99 -999.99 13.3 68.3 -999.99 -999.99 -999.99 261.0 253.0 -999.99 337.0 0.5 13.4
"2022-11-15 00:00:00" -999.99 13.1 1015.2 1020.99 -999.99 -999.99 12.95 70.3 -999.99 -999.99 -999.99 261.0 253.0 -999.99 346.0 -999.99 12.9
"2022-11-15 01:00:00" -999.99 13.0 1015.2 1020.99 -999.99 -999.99 12.9 70.2 -999.99 -999.99 -999.99 260.0 253.0 -999.99 346.0 -999.99 12.9
"2022-11-15 02:00:00" -999.99 12.8 1015.4 1021.19 -999.99 -999.99 12.6 73.8 -999.99 -999.99 -999.99 260.0 253.0 -999.99 348.5 -999.99 12.7
"2022-11-15 03:00:00" -999.99 13.0 1015.5 1021.29 -999.99 -999.99 12.8 73.4 -999.99 -999.99 -999.99 261.0 253.0 -999.99 -999.99 -999.99 12.8
"2022-11-15 04:00:00" -999.99 13.2 1015.7 1021.49 -999.99 -999.99 13.0 72.9 -999.99 -999.99 -999.99 275.0 411.0 -999.99 -999.99 0.6 13.0
"2022-11-15 05:00:00" -999.99 14.25 1016.0 1021.79 -999.99 -999.99 14.4 67.3 -999.99 -999.99 -999.99 388.0 1597.0 0.7 -999.99 0.8 14.15
"2022-11-15 06:00:00" -999.99 16.95 1016.1 1021.89 -999.99 -999.99 17.25 53.4 -999.99 -999.99 -999.99 536.5 3117.5 1.5 -999.99 0.7 16.7
"2022-11-15 07:00:00" -999.99 19.6 1015.9 1021.69 -999.99 -999.99 19.8 42.95 -999.99 -999.99 -999.99 584.0 3465.5 1.75 352.0 -999.99 19.1
"2022-11-15 08:00:00" -999.99 21.6 1015.4 1021.19 -999.99 -999.99 21.8 37.2 -999.99 -999.99 -999.99 534.0 2815.0 1.5 349.0 -999.99 21.2
"2022-11-15 09:00:00" -999.99 23.0 1014.75 1020.54 -999.99 -999.99 23.1 31.95 -999.99 -999.99 -999.99 494.5 2460.0 1.3 284.0 -999.99 22.8
"2022-11-15 10:00:00" -999.99 24.1 1014.05 1019.83 -999.99 -999.99 23.8 32.1 -999.99 -999.99 -999.99 562.5 3132.0 1.6 147.5 -999.99 24.0
"2022-11-15 11:00:00" -999.99 25.55 1013.3 1019.08 -999.99 -999.99 25.0 30.2 -999.99 -999.99 -999.99 589.5 3582.0 1.8 116.0 -999.99 24.75
"2022-11-15 12:00:00" -999.99 26.7 1013.0 1018.78 -999.99 -999.99 26.4 27.2 -999.99 -999.99 -999.99 502.0 2771.0 1.3 134.0 -999.99 26.2
"2022-11-15 13:00:00" -999.99 26.0 1012.7 1018.48 -999.99 -999.99 25.3 29.75 -999.99 -999.99 -999.99 339.5 1023.5 0.4 -999.99 -999.99 25.45
"2022-11-15 14:00:00" -999.99 20.2 1012.7 1018.48 -999.99 -999.99 20.05 48.0 -999.99 -999.99 -999.99 264.5 282.5 -999.99 -999.99 -999.99 20.3
"2022-11-15 15:00:00" -999.99 17.5 1012.9 1018.68 -999.99 -999.99 17.4 59.45 -999.99 -999.99 -999.99 260.0 253.0 -999.99 -999.99 -999.99 17.2
"2022-11-15 16:00:00" -999.99 16.5 1013.1 1018.88 -999.99 -999.99 16.4 62.8 -999.99 -999.99 -999.99 261.0 253.0 -999.99 -999.99 -999.99 16.2
"2022-11-15 17:00:00" -999.99 16.3 1013.1 1018.88 -999.99 -999.99 16.2 67.8 -999.99 -999.99 -999.99 260.0 253.0 -999.99 -999.99 -999.99 16.1
"2022-11-15 18:00:00" -999.99 15.95 1013.1 1018.88 -999.99 -999.99 15.8 71.95 -999.99 -999.99 -999.99 261.0 253.0 -999.99 -999.99 -999.99 15.85
"2022-11-15 19:00:00" -999.99 16.5 1012.9 1018.68 -999.99 -999.99 16.5 70.4 -999.99 -999.99 -999.99 261.0 253.0 -999.99 144.0 -999.99 16.6
"2022-11-15 20:00:00" -999.99 16.0 1013.3 1019.08 -999.99 -999.99 15.9 84.2 -999.99 -999.99 -999.99 261.0 253.0 -999.99 314.0 -999.99 15.8
"2022-11-15 21:00:00" -999.99 15.55 1013.2 1018.98 -999.99 -999.99 15.4 88.55 -999.99 -999.99 -999.99 261.0 253.0 -999.99 -999.99 -999.99 15.35
"2022-11-15 22:00:00" -999.99 15.1 1013.2 1018.98 -999.99 -999.99 14.9 91.4 -999.99 -999.99 -999.99 260.0 253.0 -999.99 -999.99 -999.99 14.9
"2022-11-15 23:00:00" -999.99 15.2 1012.7 1018.48 -999.99 -999.99 15.0 92.5 -999.99 -999.99 -999.99 261.0 253.0 -999.99 -999.99 -999.99 14.9
"2022-11-16 00:00:00" -999.99 15.0 1012.4 1018.17 -999.99 -999.99 14.75 92.3 -999.99 -999.99 -999.99 261.0 253.0 -999.99 346.0 -999.99 14.7
"2022-11-16 01:00:00" -999.99 14.8 1012.3 1018.07 -999.99 -999.99 14.6 92.95 -999.99 -999.99 -999.99 261.0 253.0 -999.99 343.0 -999.99 14.6
"2022-11-16 02:00:00" -999.99 14.8 1012.1 1017.87 -999.99 -999.99 14.6 90.6 -999.99 -999.99 -999.99 261.0 253.0 -999.99 339.0 -999.99 14.5
"2022-11-16 03:00:00" -999.99 13.9 1012.1 1017.87 -999.99 -999.99 13.7 93.2 -999.99 -999.99 -999.99 261.0 253.0 -999.99 -999.99 -999.99 13.7
"2022-11-16 04:00:00" -999.99 13.55 1012.4 1018.17 -999.99 -999.99 13.3 93.75 -999.99 -999.99 -999.99 270.0 310.0 -999.99 -999.99 -999.99 13.3
"2022-11-16 05:00:00" -999.99 15.75 1012.2 1017.97 -999.99 -999.99 15.75 82.45 -999.99 -999.99 -999.99 353.0 1184.0 0.5 -999.99 -999.99 15.6
"2022-11-16 06:00:00" -999.99 17.6 1012.0 1017.77 -999.99 -999.99 17.7 75.55 -999.99 -999.99 -999.99 497.5 2658.5 1.3 -999.99 -999.99 17.2
"2022-11-16 07:00:00" -999.99 20.2 1012.0 1017.77 -999.99 -999.99 20.4 63.5 -999.99 -999.99 -999.99 601.0 3738.0 1.8 35.0 -999.99 19.8
"2022-11-16 08:00:00" -999.99 21.6 1011.6 1017.37 -999.99 -999.99 21.5 54.6 -999.99 -999.99 -999.99 632.5 3902.5 2.05 128.0 -999.99 21.4
"2022-11-16 09:00:00" -999.99 21.85 1011.0 1016.77 -999.99 -999.99 21.7 53.2 -999.99 -999.99 -999.99 686.0 4434.5 2.3 163.0 1.0 21.8
"2022-11-16 10:00:00" -999.99 21.1 1010.6 1016.36 -999.99 -999.99 21.0 61.8 -999.99 -999.99 -999.99 609.0 3681.0 1.9 192.0 1.2 21.1
"2022-11-16 11:00:00" -999.99 21.0 1010.25 1016.01 -999.99 -999.99 20.8 63.35 -999.99 -999.99 -999.99 574.0 3426.0 1.7 183.5 1.3 21.0
"2022-11-16 12:00:00" -999.99 20.55 1010.25 1016.01 -999.99 -999.99 20.3 61.35 -999.99 -999.99 -999.99 445.0 1995.5 1.0 186.5 1.5 20.4
"2022-11-16 13:00:00" -999.99 19.8 1010.65 1016.41 -999.99 -999.99 19.45 65.65 -999.99 -999.99 -999.99 330.0 887.0 0.4 166.0 1.55 19.5
"2022-11-16 14:00:00" -999.99 17.8 1010.8 1016.56 -999.99 -999.99 17.6 74.9 -999.99 -999.99 -999.99 265.0 284.0 -999.99 166.0 -999.99 17.5
"2022-11-16 15:00:00" -999.99 17.0 1011.4 1017.17 -999.99 -999.99 16.8 80.1 -999.99 -999.99 -999.99 261.0 253.0 -999.99 116.0 -999.99 16.6
"2022-11-16 16:00:00" -999.99 16.5 -999.99 -999.99 -999.99 -999.99 16.25 81.65 -999.99 -999.99 -999.99 261.0 253.0 -999.99 -999.99 -999.99 16.2
"2022-11-16 17:00:00" -999.99 15.3 1011.7 1017.47 -999.99 -999.99 15.05 86.55 -999.99 -999.99 -999.99 260.0 253.0 -999.99 -999.99 -999.99 15.1
"2022-11-16 18:00:00" -999.99 15.9 1012.1 1017.87 -999.99 -999.99 15.6 83.0 -999.99 -999.99 -999.99 261.0 253.0 -999.99 343.0 -999.99 15.6
"2022-11-16 19:00:00" -999.99 15.4 1012.4 1018.17 -999.99 -999.99 15.1 82.05 -999.99 -999.99 -999.99 261.0 253.0 -999.99 86.0 -999.99 15.1
"2022-11-16 20:00:00" -999.99 14.2 1012.5 1018.27 -999.99 -999.99 13.95 88.75 -999.99 -999.99 -999.99 261.0 253.0 -999.99 -999.99 -999.99 13.8
"2022-11-16 21:00:00" -999.99 13.7 1012.6 1018.38 -999.99 -999.99 13.4 92.3 -999.99 -999.99 -999.99 261.0 253.0 -999.99 24.0 -999.99 13.4
"2022-11-16 22:00:00" -999.99 14.0 1012.4 1018.17 -999.99 -999.99 13.7 88.5 -999.99 -999.99 -999.99 261.0 253.0 -999.99 10.0 -999.99 13.75
"2022-11-16 23:00:00" -999.99 13.3 1012.4 1018.17 -999.99 -999.99 13.05 90.9 -999.99 -999.99 -999.99 261.0 253.0 -999.99 -999.99 -999.99 12.9
"2022-11-17 00:00:00" -999.99 13.4 1013.1 1018.88 -999.99 -999.99 13.0 90.6 -999.99 -999.99 -999.99 261.0 253.0 -999.99 188.0 -999.99 12.8
"2022-11-17 01:00:00" -999.99 12.5 1012.8 1018.58 -999.99 -999.99 12.2 94.6 -999.99 -999.99 -999.99 261.0 253.0 -999.99 343.0 -999.99 12.2
"2022-11-17 02:00:00" -999.99 13.3 1013.1 1018.88 -999.99 -999.99 12.9 93.6 -999.99 -999.99 -999.99 261.0 253.0 -999.99 -999.99 -999.99 12.9
"2022-11-17 03:00:00" -999.99 13.15 1013.4 1019.18 -999.99 -999.99 12.8 94.3 -999.99 -999.99 -999.99 261.0 253.0 -999.99 -999.99 -999.99 12.8
