year  mon  day  hour  min  bmp180_temp  bmp180_pres  bmp180_slp  bmp180_alt  bmp280_temp  bmp280_pres  bmp280_slp  bmp280_alt  bme_temp  bme_pres  bme_slp  bme_alt  bme_hum  htu_temp  htu_hum  mcp9808  tipping  vis_light  ir_light  uv_light  wind_dir  wind_speed
2020   12   13    00   00      -999.99      -999.99     -999.99     -999.99      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99     24.40  -999.99    24.40     0.00     260.00    252.00      2.00   -999.99        2.61
2020   12   13    00   01      -999.99      -999.99     -999.99     -999.99      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99     24.40  -999.99    24.40     0.00     260.00    254.00      2.00   -999.99        2.37
2020   12   13    00   02      -999.99      -999.99     -999.99     -999.99      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99     24.40  -999.99    24.40     0.00     258.00    253.00      1.00   -999.99        2.54
2020   12   13    00   03      -999.99      -999.99     -999.99     -999.99      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99     24.40  -999.99    24.40     0.00     260.00    254.00      2.00   -999.99        2.53
2020   12   13    00   04      -999.99      -999.99     -999.99     -999.99      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99     24.40  -999.99    24.40     0.00     261.00    253.00      2.00   -999.99        2.45
2020   12   13    00   05      -999.99      -999.99     -999.99     -999.99      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99     24.40  -999.99    24.40     0.00     260.00    253.00      2.00   -999.99        3.56
2020   12   13    00   06      -999.99      -999.99     -999.99     -999.99      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99     24.40  -999.99    24.40     0.00     260.00    252.00      2.00   -999.99        3.04
2020   12   13    00   07      -999.99      -999.99     -999.99     -999.99      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99     24.40  -999.99    24.40     0.00     261.00    254.00      2.00   -999.99        3.86
2020   12   13    00   08      -999.99      -999.99     -999.99     -999.99      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99     24.40  -999.99    24.40     0.00     261.00    252.00      2.00   -999.99        3.04
2020   12   13    00   09      -999.99      -999.99     -999.99     -999.99      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99     24.40  -999.99    24.40     0.00     261.00    254.00      2.00   -999.99        2.09
2020   12   13    00   10      -999.99      -999.99     -999.99     -999.99      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99     24.40  -999.99    24.40     0.00     261.00    253.00      2.00   -999.99        2.15
2020   12   13    00   11      -999.99      -999.99     -999.99     -999.99      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99     24.40  -999.99    24.40     0.00     260.00    253.00      2.00   -999.99        2.53
