year  mon  day  hour  min  bmp180_temp  bmp180_pres  bmp180_slp  bmp180_alt  bmp280_temp  bmp280_pres  bmp280_slp  bmp280_alt  bme_temp  bme_pres  bme_slp  bme_alt  bme_hum  htu_temp  htu_hum  mcp9808  tipping  vis_light  ir_light  uv_light  wind_dir  wind_speed
2023   03   03    00   00      -999.99      -999.99     -999.99     -999.99      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      6.40    29.10     6.50     0.00     320.00    931.00     34.00    226.50        4.27
2023   03   03    00   01      -999.99      -999.99     -999.99     -999.99      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      6.30    30.30     6.60     0.00     317.00    903.00     32.00    232.20        4.52
2023   03   03    00   02         5.90       813.54     1002.86     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      6.30    29.80     6.20     0.00     316.00    896.00     32.00    222.10        3.96
2023   03   03    00   03      -999.99      -999.99     -999.99     -999.99      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99   -999.99  -999.99     6.40     0.00     318.00    922.00     33.00    215.90        3.68
2023   03   03    00   04         5.80       813.47     1002.85     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      6.20    28.50     6.20     0.00     315.00    900.00     31.00    221.60        4.27
2023   03   03    00   05         5.90       813.49     1002.80     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      6.30    31.30     6.20     0.00     314.00    879.00     31.00    241.00        4.51
2023   03   03    00   06         5.80       813.56     1002.96     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      6.20    31.00     6.10     0.00     313.00    859.00     30.00    232.20        5.21
2023   03   03    00   07         5.60       813.44     1002.96     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      6.10    31.10     6.10     0.00     311.00    834.00     29.00    209.70        4.74
2023   03   03    00   08         5.60       813.53     1003.07     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      6.10    29.80     6.00     0.00     309.00    810.00     28.00    211.50        3.91
2023   03   03    00   09         5.70       813.56     1003.03     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      6.10    32.30     6.10     0.00     308.00    785.00     27.00    230.90        3.30
2023   03   03    00   10         5.60       813.67     1003.24     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      6.00    31.80     6.00     0.00     304.00    738.00     25.00    240.10        3.39
2023   03   03    00   11         5.50       813.47     1003.07     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      5.90    31.40     5.90     0.00     300.00    708.00     23.00    228.70        4.24
2023   03   03    00   12         5.50       813.49     1003.09     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      5.90    30.70     5.90     0.00     301.00    698.00     24.00    257.80        4.68
2023   03   03    00   13         5.50       813.51     1003.12     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      5.90    32.80     5.80     0.00     301.00    694.00     24.00    219.00        3.45
2023   03   03    00   14         5.40       813.45     1003.12     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      5.80    30.50     5.80     0.00     297.00    666.00     21.00    241.90        3.85
2023   03   03    00   15         5.40       813.57     1003.27     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      5.80    32.10     5.80     0.00     297.00    649.00     21.00    216.80        4.09
2023   03   03    00   16         5.30       813.51     1003.27     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      5.70    33.40     5.70     0.00     293.00    626.00     19.00    263.90        4.24
2023   03   03    00   17         5.30       813.58     1003.35     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      5.80    30.90     5.70     0.00     292.00    604.00     19.00    239.30        4.59
2023   03   03    00   18         5.30       813.57     1003.34     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      5.70    31.80     5.70     0.00     291.00    580.00     18.00    258.20        3.71
2023   03   03    00   19         5.20       813.61     1003.46     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      5.70    32.20     5.70     0.00     289.00    561.00     17.00    204.90        3.92
2023   03   03    00   20         5.30       813.57     1003.34     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      5.70    29.80     5.70     0.00     286.00    542.00     16.00    215.00        4.02
2023   03   03    00   21         5.20       813.53     1003.37     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      5.60    32.00     5.60     0.00     286.00    523.00     16.00    207.50        3.99
2023   03   03    00   22         5.20       813.54     1003.38     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      5.60    31.50     5.60     0.00     285.00    507.00     15.00    225.60        4.30
2023   03   03    00   23         5.10       813.67     1003.61     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      5.40    33.80     5.40     0.00     285.00    492.00     15.00    223.80     -999.99
2023   03   03    00   24         5.00       813.66     1003.67     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      5.40    31.60     5.40     0.00     282.00    477.00     13.00    208.40        4.83
2023   03   03    00   25         5.00       813.68     1003.70     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      5.40    31.60     5.40     0.00     282.00    461.00     13.00    230.50        5.38
2023   03   03    00   26         5.00       813.74     1003.77     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      5.40    31.80     5.40     0.00     280.00    450.00     12.00    223.80        4.38
2023   03   03    00   27         5.00       813.63     1003.64     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      5.40    32.70     5.30     0.00     280.00    436.00     12.00    217.20        3.81
2023   03   03    00   28         4.90       813.63     1003.71     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      5.30    31.80     5.20     0.00     278.00    424.00     11.00    187.30        3.55
2023   03   03    00   29         4.90       813.77     1003.88     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      5.20    33.30     5.20     0.00     279.00    413.00     12.00    214.60        5.10
2023   03   03    00   30      -999.99      -999.99     -999.99     -999.99      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      5.10    32.60  -999.99     0.00     275.00    404.00     10.00    226.00        4.52
2023   03   03    00   31         4.70       813.71     1003.96     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      5.10    34.50     5.00     0.00     276.00    394.00     10.00    215.90        5.24
2023   03   03    00   32         4.60       813.80     1004.14     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      4.90    33.90     5.00     0.00     275.00    378.00     10.00    214.10        4.36
2023   03   03    00   33         4.70       813.82     1004.09     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      5.00    32.20     5.00     0.00     275.00    363.00     10.00    214.10        5.85
2023   03   03    00   34         4.60       813.87     1004.23     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      4.80    32.50     4.90     0.00     274.00    356.00      9.00    216.80        4.97
2023   03   03    00   35         4.40       813.83     1004.33     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      4.60    33.60     4.80     0.00     272.00    353.00      8.00    232.70        4.80
2023   03   03    00   36         4.40       813.72     1004.19     1743.00      -999.99      -999.99     -999.99     -999.99   -999.99   -999.99  -999.99  -999.99  -999.99      4.70    32.50     4.80     0.00     272.00    348.00      8.00    219.90        4.54
